Operating Expense Change,Total Revenue -15%,Total Revenue -10%,Total Revenue -5%,Total Revenue +0%,Total Revenue +5%,Total Revenue +10%,Total Revenue +15%
-15%,3091237500.0,3732262500.0,4373287500.0,5231127139.616416,5655337500.0,6296362500.000011,6937387499.999989
-10%,2632050000.0,3273075000.0,3914100000.0,4752084759.744277,5196150000.0,5837175000.000011,6478199999.999989
-5%,2172862500.0,2813887500.0,3454912500.0,4273042379.8721385,4736962500.0,5377987500.000011,6019012499.999989
+0%,1713675000.0,2354700000.0,2995725000.0,3794000000.0,4277775000.0,4918800000.000011,5559824999.999989
+5%,1254487500.0,1895512500.0,2536537500.0,3314957620.1278615,3818587500.0,4459612500.000011,5100637499.999989
+10%,795299999.9999986,1436324999.9999986,2077349999.9999986,2835915240.2557216,3359399999.9999986,4000425000.00001,4641449999.999987
+15%,336112500.00000143,977137500.0000014,1618162500.0000014,2356872860.383586,2900212500.0000014,3541237500.000013,4182262499.99999
