Year,Type,Total Revenue,Cost Of Revenue,Operating Expense,Gross Profit,Operating Income,Net Income
2025,Budget,109412800000.00002,87180760000.0,10465200000.0,22232040000.000015,11766840000.000015,8825130000.000011
2026,Budget,122542336000.00002,94721895740.0,11302416000.000002,27820440260.000015,16518024260.000013,12388518195.00001
