Driver,Low Case,High Case,Base,Range
Cost Of Revenue,9876058197.56651,-2288058197.566509,3794000000.0,12164116395.133018
Total Revenue,2354700000.0,4918800000.000011,3794000000.0,2564100000.0000114
Operating Expense,4752084759.744277,2835915240.2557216,3794000000.0,1916169519.4885554
